file,client,side,source
ammeter_10.png,ammeter_catalog,train,MeasureBench
ammeter_11.png,ammeter_catalog,train,MeasureBench
ammeter_12.png,ammeter_catalog,train,MeasureBench
ammeter_13.png,ammeter_catalog,train,MeasureBench
ammeter_17.png,ammeter_catalog,train,MeasureBench
ammeter_19.png,ammeter_catalog,test,MeasureBench
ammeter_2.png,ammeter_handheld,test,MeasureBench
ammeter_20.png,ammeter_catalog,train,MeasureBench
ammeter_21.png,ammeter_lab,train,MeasureBench
ammeter_23.png,ammeter_lab,train,MeasureBench
ammeter_29.png,ammeter_lab,train,MeasureBench
ammeter_3.png,ammeter_catalog,train,MeasureBench
ammeter_32.png,ammeter_lab,train,MeasureBench
ammeter_33.png,ammeter_handheld,train,MeasureBench
ammeter_34.png,ammeter_lab,train,MeasureBench
ammeter_37.png,ammeter_lab,train,MeasureBench
ammeter_4.png,ammeter_catalog,train,MeasureBench
ammeter_41.png,ammeter_lab,train,MeasureBench
ammeter_47.png,ammeter_lab,train,MeasureBench
ammeter_5.png,ammeter_lab,train,MeasureBench
ammeter_51.png,ammeter_catalog,train,MeasureBench
ammeter_53.png,ammeter_lab,test,MeasureBench
ammeter_6.png,ammeter_catalog,test,MeasureBench
ammeter_60.png,ammeter_catalog,train,MeasureBench
ammeter_63.png,ammeter_lab,train,MeasureBench
ammeter_64.png,ammeter_catalog,train,MeasureBench
ammeter_7.png,ammeter_catalog,train,MeasureBench
ammeter_71.png,ammeter_lab,test,MeasureBench
ammeter_73.png,ammeter_catalog,test,MeasureBench
ammeter_75.png,ammeter_lab,train,MeasureBench
ammeter_79.png,ammeter_lab,train,MeasureBench
ammeter_82.png,ammeter_lab,test,MeasureBench
ammeter_87.png,ammeter_lab,train,MeasureBench
ammeter_88.png,ammeter_lab,train,MeasureBench
ammeter_89.png,ammeter_handheld,train,MeasureBench
ammeter_9.png,ammeter_catalog,train,MeasureBench
ammeter_94.png,ammeter_lab,train,MeasureBench
ammeter_95.png,ammeter_lab,train,MeasureBench
pressure_gauge_102.png,pressure_gauge_handheld,test,MeasureBench
pressure_gauge_14.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_18.png,pressure_gauge_industrial,train,MeasureBench
pressure_gauge_21.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_22.png,pressure_gauge_handheld,test,MeasureBench
pressure_gauge_27.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_36.png,pressure_gauge_catalog,test,MeasureBench
pressure_gauge_41.png,pressure_gauge_handheld,test,MeasureBench
pressure_gauge_44.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_47.png,pressure_gauge_handheld,test,MeasureBench
pressure_gauge_55.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_57.png,pressure_gauge_industrial,test,MeasureBench
pressure_gauge_67.png,pressure_gauge_catalog,train,MeasureBench
pressure_gauge_71.png,pressure_gauge_catalog,train,MeasureBench
pressure_gauge_72.png,pressure_gauge_handheld,test,MeasureBench
pressure_gauge_88.png,pressure_gauge_lab,test,MeasureBench
sphygmomanometer_0.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_11.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_15.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_19.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_25.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_28.png,sphygmomanometer_all,test,MeasureBench
sphygmomanometer_4.png,sphygmomanometer_all,train,MeasureBench
sphygmomanometer_5.png,sphygmomanometer_all,test,MeasureBench
sphygmomanometer_9.png,sphygmomanometer_all,train,MeasureBench
tachometer_16.png,tachometer_all,train,MeasureBench
tachometer_4.png,tachometer_all,train,MeasureBench
tachometer_54.png,tachometer_all,test,MeasureBench
tachometer_64.png,tachometer_all,train,MeasureBench
tachometer_67.png,tachometer_all,train,MeasureBench
voc_new_001.jpg,pressure_gauge_industrial,test,unknown
voc_new_002.jpg,pressure_gauge_lab,train,unknown
